date,open,high,low,close
2025-01-01,195.0,195.086,194.846,194.902
2025-01-02,194.902,195.797,194.153,195.734
2025-01-03,195.734,196.293,195.625,196.159
2025-01-06,196.159,196.463,195.577,196.347
2025-01-07,196.347,197.184,195.978,197.129
2025-01-08,197.129,197.252,195.417,196.073
2025-01-09,196.073,196.232,195.807,196.179
2025-01-10,196.179,196.335,194.395,194.64
2025-01-13,194.64,195.781,194.452,195.661
2025-01-14,195.661,196.385,195.104,195.994
2025-01-15,195.994,197.436,194.684,196.679
2025-01-16,196.679,197.137,195.633,196.071
2025-01-17,196.071,197.471,195.647,196.862
2025-01-20,196.862,196.905,195.672,195.819
2025-01-21,195.819,196.415,195.5,196.005
2025-01-22,196.005,196.775,195.766,196.45
2025-01-23,196.45,196.809,195.585,195.82
2025-01-24,195.82,196.555,194.653,196.43
2025-01-27,196.43,196.979,195.204,195.588
2025-01-28,195.588,197.465,195.171,197.212
2025-01-29,197.212,198.888,196.501,198.841
2025-01-30,198.841,199.318,197.594,198.316
2025-01-31,198.316,198.54,198.158,198.413
2025-02-03,198.413,199.559,197.252,199.269
2025-02-04,199.269,200.316,198.988,200.011
2025-02-05,200.011,200.487,198.873,199.156
2025-02-06,199.156,199.531,198.777,199.139
2025-02-07,199.139,200.06,198.335,198.876
2025-02-10,198.876,199.084,197.715,198.311
2025-02-11,198.311,198.482,198.227,198.351
2025-02-12,198.351,200.051,198.214,199.604
2025-02-13,199.604,200.056,198.362,198.552
2025-02-14,198.552,199.977,197.576,199.962
2025-02-17,199.962,200.758,199.57,199.627
2025-02-18,199.627,200.191,199.044,199.119
2025-02-19,199.119,201.153,198.775,200.745
2025-02-20,200.745,201.1,197.914,198.191
2025-02-21,198.191,198.505,197.645,197.647
2025-02-24,197.647,200.131,197.433,199.604
2025-02-25,199.604,201.385,199.422,201.162
2025-02-26,201.162,201.95,201.052,201.329
2025-02-27,201.329,201.772,200.057,200.059
2025-02-28,200.059,202.771,199.376,202.631
2025-03-03,202.631,202.692,201.095,201.257
2025-03-04,201.257,204.078,200.762,203.237
2025-03-05,203.237,204.715,202.881,203.948
2025-03-06,203.948,204.326,203.324,204.065
2025-03-07,204.065,204.436,203.055,204.34
2025-03-10,204.34,204.5,202.943,203.728
2025-03-11,203.728,203.859,202.941,203.353
2025-03-12,203.353,205.028,202.794,205.006
2025-03-13,205.006,205.828,204.76,205.569
2025-03-14,205.569,206.136,204.815,204.859
2025-03-17,204.859,206.326,204.555,205.689
2025-03-18,205.689,207.141,205.567,206.064
2025-03-19,206.064,206.12,205.057,205.799
2025-03-20,205.799,206.249,205.201,205.989
2025-03-21,205.989,206.852,205.335,205.485
2025-03-24,205.485,206.102,205.049,205.798
2025-03-25,205.798,207.024,205.539,206.526
2025-03-26,206.526,207.268,206.144,206.37
2025-03-27,206.37,206.753,206.109,206.381
2025-03-28,206.381,207.266,206.18,206.978
2025-03-31,206.978,208.51,206.787,208.154
2025-04-01,208.154,209.35,207.223,208.217
2025-04-02,208.217,209.195,208.167,209.042
2025-04-03,209.042,211.198,207.921,211.194
2025-04-04,211.194,211.369,210.522,210.767
2025-04-07,210.767,210.799,209.926,210.068
2025-04-08,210.068,211.403,209.066,210.35
2025-04-09,210.35,211.222,209.723,210.227
2025-04-10,210.227,212.191,209.792,210.608
2025-04-11,210.608,210.882,208.787,209.024
2025-04-14,209.024,210.491,208.895,209.846
2025-04-15,209.846,210.064,207.524,208.144
2025-04-16,208.144,209.694,208.126,208.716
2025-04-17,208.716,211.377,208.435,210.314
2025-04-18,210.314,211.334,209.892,210.714
2025-04-21,210.714,211.077,210.424,210.826
2025-04-22,210.826,211.402,209.971,210.36
2025-04-23,210.36,210.681,207.991,209.147
2025-04-24,209.147,209.372,208.079,208.84
2025-04-25,208.84,209.48,208.641,208.979
2025-04-28,208.979,209.316,207.456,208.22
2025-04-29,208.22,209.617,206.555,209.374
2025-04-30,209.374,209.708,209.22,209.398
2025-05-01,209.398,210.556,208.461,209.214
2025-05-02,209.214,209.414,207.52,207.735
2025-05-05,207.735,209.33,206.607,208.656
2025-05-06,208.656,208.692,206.568,206.619
2025-05-07,206.619,207.444,206.007,207.059
2025-05-08,207.059,207.223,204.709,204.894
2025-05-09,204.894,206.441,204.798,206.046
2025-05-12,206.046,207.658,205.715,207.59
2025-05-13,207.59,207.882,205.995,207.077
2025-05-14,207.077,207.434,206.896,207.309
2025-05-15,207.309,207.495,205.726,206.584
2025-05-16,206.584,206.94,206.288,206.686
2025-05-19,206.686,207.319,206.607,206.669
2025-05-20,206.669,207.719,206.198,206.797
2025-05-21,206.797,208.351,206.462,207.994
2025-05-22,207.994,208.15,206.592,206.801
2025-05-23,206.801,207.801,205.734,206.018
2025-05-26,206.018,206.294,203.781,203.985
2025-05-27,203.985,204.279,203.79,204.046
2025-05-28,204.046,204.625,201.477,201.863
2025-05-29,201.863,204.306,200.962,203.355
2025-05-30,203.355,203.739,200.195,201.154
2025-06-02,201.154,203.115,200.583,202.988
2025-06-03,202.988,205.581,202.043,205.259
2025-06-04,205.259,206.008,205.204,205.642
2025-06-05,205.642,206.329,204.479,205.19
2025-06-06,205.19,206.507,204.777,205.6
2025-06-09,205.6,205.992,205.255,205.891
2025-06-10,205.891,206.713,205.419,206.664
2025-06-11,206.664,209.058,206.58,208.662
2025-06-12,208.662,209.054,207.406,208.022
2025-06-13,208.022,208.252,207.829,207.921
2025-06-16,207.921,208.717,207.539,208.659
2025-06-17,208.659,209.074,208.181,208.517
2025-06-18,208.517,208.947,207.979,208.449
2025-06-19,208.449,208.941,207.261,207.694
2025-06-20,207.694,208.488,206.555,207.703
2025-06-23,207.703,208.564,207.512,207.79
2025-06-24,207.79,208.534,207.641,207.767
2025-06-25,207.767,208.372,207.382,208.142
2025-06-26,208.142,209.036,207.288,207.368
2025-06-27,207.368,207.554,206.038,206.515
2025-06-30,206.515,206.756,205.458,205.822
2025-07-01,205.822,207.405,205.546,206.706
2025-07-02,206.706,208.408,206.507,208.012
2025-07-03,208.012,209.799,208.011,209.387
2025-07-04,209.387,209.668,207.822,208.137
2025-07-07,208.137,208.461,207.057,207.181
2025-07-08,207.181,207.361,204.82,204.907
2025-07-09,204.907,205.426,204.019,204.324
2025-07-10,204.324,204.659,203.37,203.717
2025-07-11,203.717,203.884,201.794,202.11
2025-07-14,202.11,202.352,202.091,202.247
2025-07-15,202.247,203.669,202.089,203.555
2025-07-16,203.555,203.916,202.019,202.283
2025-07-17,202.283,204.313,202.27,203.939
2025-07-18,203.939,203.983,203.929,203.934
2025-07-21,203.934,204.347,201.782,202.108
2025-07-22,202.108,204.537,201.949,203.412
2025-07-23,203.412,203.437,202.441,203.432
2025-07-24,203.432,203.675,200.852,201.588
2025-07-25,201.588,202.598,198.117,198.808
2025-07-28,198.808,200.478,198.694,200.044
2025-07-29,200.044,200.349,198.273,198.824
2025-07-30,198.824,200.83,198.442,200.334
2025-07-31,200.334,200.541,199.621,200.529
2025-08-01,200.529,201.325,200.248,200.721
2025-08-04,200.721,201.084,199.959,200.151
2025-08-05,200.151,200.586,199.815,200.08
2025-08-06,200.08,200.17,199.226,199.99
2025-08-07,199.99,200.165,199.418,199.941
2025-08-08,199.941,201.05,199.77,200.756
2025-08-11,200.756,201.278,198.058,198.724
2025-08-12,198.724,199.254,197.262,197.929
2025-08-13,197.929,197.966,197.403,197.902
2025-08-14,197.902,200.188,196.916,199.439
2025-08-15,199.439,199.843,197.254,197.905
2025-08-18,197.905,197.97,197.192,197.538
2025-08-19,197.538,197.585,196.964,197.352
2025-08-20,197.352,199.081,197.182,198.834
2025-08-21,198.834,198.887,198.247,198.331
2025-08-22,198.331,198.838,197.814,198.212
2025-08-25,198.212,199.949,197.846,199.828
2025-08-26,199.828,201.273,199.676,200.809
2025-08-27,200.809,201.535,200.775,201.103
2025-08-28,201.103,201.115,199.147,200.092
2025-08-29,200.092,200.352,199.474,200.145
2025-09-01,200.145,200.836,200.145,200.372
2025-09-02,200.372,201.077,198.821,199.306
2025-09-03,199.306,199.623,197.759,197.863
2025-09-04,197.863,198.587,197.341,198.55
2025-09-05,198.55,200.099,198.413,199.777
2025-09-08,199.777,200.587,198.913,199.25
2025-09-09,199.25,200.621,199.004,200.618
2025-09-10,200.618,203.051,200.529,201.878
2025-09-11,201.878,202.381,201.182,202.096
2025-09-12,202.096,203.354,202.052,203.224
2025-09-15,203.224,203.48,202.203,202.857
2025-09-16,202.857,204.949,202.458,204.435
2025-09-17,204.435,205.475,202.301,203.291
2025-09-18,203.291,204.01,202.858,203.558
2025-09-19,203.558,204.535,203.541,204.078
2025-09-22,204.078,206.089,203.075,205.336
2025-09-23,205.336,207.738,204.629,207.119
2025-09-24,207.119,207.635,206.735,206.867
2025-09-25,206.867,206.982,203.187,204.088
2025-09-26,204.088,204.224,202.175,202.92
2025-09-29,202.92,203.794,201.949,203.682
2025-09-30,203.682,204.155,203.407,203.969
2025-10-01,203.969,204.639,203.321,203.472
2025-10-02,203.472,203.556,203.152,203.34
2025-10-03,203.34,203.551,201.97,202.839
2025-10-06,202.839,203.707,201.559,201.68
2025-10-07,201.68,202.894,200.819,200.897
2025-10-08,200.897,202.873,200.057,202.464
2025-10-09,202.464,202.92,201.793,202.657
2025-10-10,202.657,202.708,200.473,200.768
2025-10-13,200.768,201.411,200.369,201.258
2025-10-14,201.258,201.536,199.716,200.233
2025-10-15,200.233,200.244,199.621,200.069
2025-10-16,200.069,200.449,199.871,199.874
